"","run_accession","library_name","Collection_Date","lib"
"7623","ERR13104512","SARS-CoV-2 ARTIC V4",2022-03-29,"v4"
"7635","ERR13104975","SARS-CoV-2 ARTIC V4",2022-03-28,"v4"
"7636","ERR13104982","SARS-CoV-2 ARTIC V4",2022-04-03,"v4"
"7641","ERR13104993","SARS-CoV-2 ARTIC V4",2022-04-05,"v4"
"7650","ERR13105054","SARS-CoV-2 ARTIC V4",2022-04-08,"v4"
"7653","ERR13105462","SARS-CoV-2 ARTIC V4",2022-04-09,"v4"
"7655","ERR13105469","SARS-CoV-2 ARTIC V4",2022-04-01,"v4"
"7658","ERR13105478","SARS-CoV-2 ARTIC V4",2022-04-15,"v4"
"7660","ERR13105488","SARS-CoV-2 ARTIC V4",2022-04-16,"v4"
"7673","ERR13105618","SARS-CoV-2 ARTIC V4",2022-04-10,"v4"
"7675","ERR13105626","SARS-CoV-2 ARTIC V4",2022-04-11,"v4"
"7677","ERR13105633","SARS-CoV-2 ARTIC V4",2022-04-07,"v4"
"7685","ERR13105660","SARS-CoV-2 ARTIC V4",2022-04-25,"v4"
"7687","ERR13105665","SARS-CoV-2 ARTIC V4",2022-04-26,"v4"
"7693","ERR13106182","SARS-CoV-2 ARTIC V3",2021-11-16,"v3"
"7713","ERR13106270","SARS-CoV-2 ARTIC V3",2021-11-05,"v3"
"7714","ERR13106272","SARS-CoV-2 ARTIC V3",2021-11-07,"v3"
"7715","ERR13106273","SARS-CoV-2 ARTIC V3",2021-11-08,"v3"
"7716","ERR13106280","SARS-CoV-2 ARTIC V3",2021-11-15,"v3"
"7721","ERR13106293","SARS-CoV-2 ARTIC V4",2022-01-18,"v4"
"7726","ERR13106302","SARS-CoV-2 ARTIC V4",2022-01-12,"v4"
"7741","ERR13106412","SARS-CoV-2 ARTIC V4",2022-01-23,"v4"
"7749","ERR13107149","SARS-CoV-2 ARTIC V4",2022-01-19,"v4"
"7752","ERR13107170","SARS-CoV-2 ARTIC V4",2022-02-03,"v4"
"7761","ERR13107202","SARS-CoV-2 ARTIC V4",2022-02-13,"v4"
"7763","ERR13107254","SARS-CoV-2 ARTIC V4",2022-02-07,"v4"
