"","Run","library_name","Collection_Date","lib"
"213","ERR9862037","",2021-06-27,"-"
"214","ERR9862038","",2021-06-28,"-"
"215","ERR9862039","",2021-06-29,"-"
"202","ERR9861988","",2021-06-30,"-"
"203","ERR9861989","",2021-07-01,"-"
"204","ERR9861990","",2021-07-02,"-"
"205","ERR9861991","",2021-07-03,"-"
"206","ERR9861992","",2021-07-04,"-"
"207","ERR9861993","",2021-07-05,"-"
"208","ERR9861994","",2021-07-06,"-"
"195","ERR9861946","",2021-07-07,"-"
"196","ERR9861947","",2021-07-08,"-"
"197","ERR9861948","",2021-07-09,"-"
"198","ERR9861949","",2021-07-10,"-"
"199","ERR9861950","",2021-07-11,"-"
"200","ERR9861951","",2021-07-12,"-"
"201","ERR9861952","",2021-07-13,"-"
"188","ERR9861904","",2021-07-14,"-"
"189","ERR9861905","",2021-07-15,"-"
"190","ERR9861906","",2021-07-16,"-"
"191","ERR9861907","",2021-07-17,"-"
"192","ERR9861908","",2021-07-18,"-"
"193","ERR9861909","",2021-07-19,"-"
"194","ERR9861910","",2021-07-20,"-"
"181","ERR9861862","",2021-07-21,"-"
"182","ERR9861863","",2021-07-22,"-"
"183","ERR9861864","",2021-07-23,"-"
"184","ERR9861865","",2021-07-24,"-"
"185","ERR9861866","",2021-07-25,"-"
"186","ERR9861867","",2021-07-26,"-"
"187","ERR9861868","",2021-07-27,"-"
"174","ERR9861821","",2021-07-28,"-"
"175","ERR9861822","",2021-07-29,"-"
"176","ERR9861823","",2021-07-30,"-"
"177","ERR9861824","",2021-07-31,"-"
"178","ERR9861825","",2021-08-01,"-"
"179","ERR9861826","",2021-08-02,"-"
"180","ERR9861827","",2021-08-03,"-"
"167","ERR9861783","",2021-08-04,"-"
"168","ERR9861784","",2021-08-05,"-"
"169","ERR9861785","",2021-08-06,"-"
"170","ERR9861786","",2021-08-07,"-"
"171","ERR9861787","",2021-08-08,"-"
"172","ERR9861788","",2021-08-09,"-"
"173","ERR9861789","",2021-08-10,"-"
"164","ERR9861752","",2021-08-15,"-"
"165","ERR9861753","",2021-08-16,"-"
